"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0500000US37159","Rowan County, North Carolina","0.4510","0.0111"
"0500000US37181","Vance County, North Carolina","0.5215","0.0523"
"0500000US37053","Currituck County, North Carolina","0.3867","0.0210"
"0500000US37179","Union County, North Carolina","0.4558","0.0100"
"0500000US37067","Forsyth County, North Carolina","0.4985","0.0079"
"0500000US37127","Nash County, North Carolina","0.4735","0.0149"
"0500000US37017","Bladen County, North Carolina","0.4969","0.0412"
"0500000US37055","Dare County, North Carolina","0.4299","0.0197"
"0500000US37185","Warren County, North Carolina","0.4874","0.0298"
"0500000US37195","Wilson County, North Carolina","0.4681","0.0171"
"0500000US37015","Bertie County, North Carolina","0.5027","0.0343"
"0500000US37073","Gates County, North Carolina","0.3970","0.0297"
"0500000US37075","Graham County, North Carolina","0.4418","0.0329"
"0500000US37117","Martin County, North Carolina","0.4835","0.0311"
"0500000US37115","Madison County, North Carolina","0.4719","0.0295"
"0500000US37137","Pamlico County, North Carolina","0.4642","0.0283"
"0500000US37143","Perquimans County, North Carolina","0.4390","0.0250"
"0500000US37149","Polk County, North Carolina","0.4498","0.0248"
"0500000US37151","Randolph County, North Carolina","0.4439","0.0219"
"0500000US37157","Rockingham County, North Carolina","0.4480","0.0157"
"0500000US37169","Stokes County, North Carolina","0.4293","0.0289"
"0500000US37187","Washington County, North Carolina","0.4626","0.0485"
"0500000US37029","Camden County, North Carolina","0.3680","0.0292"
"0500000US37043","Clay County, North Carolina","0.4871","0.0473"
"0500000US37051","Cumberland County, North Carolina","0.4470","0.0078"
"0500000US37071","Gaston County, North Carolina","0.4599","0.0110"
"0500000US37081","Guilford County, North Carolina","0.4847","0.0069"
"0500000US37099","Jackson County, North Carolina","0.4473","0.0178"
"0500000US37125","Moore County, North Carolina","0.4681","0.0141"
"0500000US37155","Robeson County, North Carolina","0.4891","0.0125"
"0500000US37167","Stanly County, North Carolina","0.4181","0.0103"
"0500000US37183","Wake County, North Carolina","0.4446","0.0047"
"0500000US37199","Yancey County, North Carolina","0.4431","0.0266"
"0500000US37037","Chatham County, North Carolina","0.4899","0.0150"
